"gene_id","C1","C2","C3","T1","T2","T3"
"MSTRG.15828",585,604,369,577,489,257
"MSTRG.12589",144,162,246,343,394,238
"MSTRG.14534",169,164,131,144,145,324
"MSTRG.10576",1421,1315,925,819,1113,582
"NM_001272003",0,0,0,0,0,0
"MSTRG.15114",0,0,7,0,0,0
"NR_121185",0,0,0,0,0,0
"NM_052955",0,0,0,0,0,0
"NM_003277",0,0,0,0,0,0
"NR_026563",0,0,0,0,0,0
"NM_030770",0,0,0,0,0,0
"NR_037489",0,0,0,0,0,0
"MSTRG.12334",23,17,13,21,32,28
"NM_000340",0,0,0,0,0,0
"NM_001193623",0,0,0,0,0,0
"NM_207360",0,0,3,0,0,0
"MSTRG.6456",1806,2403,2035,1728,2577,3597
"MSTRG.12586",1270,1531,1861,1422,2169,1787
"NM_001283060",0,0,0,0,0,0
"MSTRG.8980",817,1039,908,1175,1253,1603
"MSTRG.14218",1728,2469,2235,2989,4810,1998
"NR_134281",0,0,0,0,0,0
"MSTRG.917",0,0,0,0,0,0
"NM_021176",0,0,0,0,0,0
"NM_000720",0,0,0,0,0,0
"NR_029968",0,0,0,0,0,0
"MSTRG.18646",899,1202,1440,1228,2920,2031
"NM_030639",0,0,0,0,0,0
"MSTRG.3729",15,27,14,28,9,5
"MSTRG.2895",1959,2228,1266,1196,1134,301
"NM_001289993",0,0,0,0,0,0
"MSTRG.7784",15,11,32,19,63,86
"NR_111936",0,0,0,0,0,0
"MSTRG.6246",11,7,6,10,12,37
"MSTRG.7455",48,49,65,62,53,26
"MSTRG.9348",47,0,39,42,63,115
"MSTRG.10473",1,1,0,1,0,1
"MSTRG.2928",59683,67677,31040,80513,64561,27520
"MSTRG.16995",4767,6975,5046,4662,4163,4396
"MSTRG.3072",202,169,177,132,261,198
"MSTRG.1037",0,0,0,0,0,0
"MSTRG.3040",1573,1740,1707,1246,2380,1769
"MSTRG.19353",48,44,20,37,37,53
"NM_199450",0,0,0,0,0,0
"NM_001004755",0,0,0,0,0,0
"MSTRG.17882",77,66,97,20,58,48
"MSTRG.12667",803,1008,1328,773,1095,1276
